id,name,common_name,supercategory,kingdom,phylum,class,order,family,genus,specific_epithet,image_dir_name
1184,Cyclophora packardi,Packard's Wave,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Cyclophora,packardi,01184_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Cyclophora_packardi
1185,Cyclophora pendulinaria,Sweetfern Geometer Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Cyclophora,pendulinaria,01185_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Cyclophora_pendulinaria
1186,Declana floccosa,Forest Semilooper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Declana,floccosa,01186_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Declana_floccosa
1187,Dichorda iridaria,Showy Emerald,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Dichorda,iridaria,01187_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Dichorda_iridaria
1188,Didymoctenia exsuperata,Didymoctenia exsuperata,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Didymoctenia,exsuperata,01188_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Didymoctenia_exsuperata
1189,Digrammia atrofasciata,Broad-lined Angle,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Digrammia,atrofasciata,01189_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Digrammia_atrofasciata
1190,Digrammia continuata,Curve-lined Angle,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Digrammia,continuata,01190_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Digrammia_continuata
1191,Digrammia gnophosaria,Hollow-spotted Angle,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Digrammia,gnophosaria,01191_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Digrammia_gnophosaria
1192,Digrammia ocellinata,Faint-spotted Angle,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Digrammia,ocellinata,01192_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Digrammia_ocellinata
1193,Disclisioprocta stellata,Somber Carpet Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Disclisioprocta,stellata,01193_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Disclisioprocta_stellata
1194,Dysphania militaris,False Tiger Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Dysphania,militaris,01194_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Dysphania_militaris
1195,Dyspteris abortivaria,The Bad-wing,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Dyspteris,abortivaria,01195_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Dyspteris_abortivaria
1196,Dysstroma citrata,Northern Marbled Carpet,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Dysstroma,citrata,01196_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Dysstroma_citrata
1197,Dysstroma hersiliata,Orange-barred Carpet Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Dysstroma,hersiliata,01197_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Dysstroma_hersiliata
1198,Dysstroma truncata,Marbled Carpet Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Dysstroma,truncata,01198_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Dysstroma_truncata
1199,Ecliptopera silaceata,Small Phoenix,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ecliptopera,silaceata,01199_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ecliptopera_silaceata
1200,Ectropis crepuscularia,Small Engrailed,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ectropis,crepuscularia,01200_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ectropis_crepuscularia
1201,Ematurga atomaria,Common Heath,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ematurga,atomaria,01201_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ematurga_atomaria
1202,Ennomos magnaria,Maple Spanworm,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,magnaria,01202_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ennomos_magnaria
1203,Ennomos subsignaria,Elm Spanworm,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,subsignaria,01203_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ennomos_subsignaria
1204,Epidesmia tryxaria,Epidesmia tryxaria,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epidesmia,tryxaria,01204_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Epidesmia_tryxaria
1205,Epimecis hortaria,Tulip-tree Beauty,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epimecis,hortaria,01205_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Epimecis_hortaria
1206,Epirrhoe alternata,Common Carpet,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epirrhoe,alternata,01206_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Epirrhoe_alternata
1207,Epirrita autumnata,Autumnal Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epirrita,autumnata,01207_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Epirrita_autumnata
1208,Epyaxa rosearia,New Zealand Looper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epyaxa,rosearia,01208_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Epyaxa_rosearia
1209,Erannis defoliaria,Mottled Umber,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Erannis,defoliaria,01209_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Erannis_defoliaria
1210,Eubaphe mendica,The Beggar,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eubaphe,mendica,01210_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Eubaphe_mendica
1211,Euchlaena amoenaria,Deep Yellow Euchlaena,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Euchlaena,amoenaria,01211_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Euchlaena_amoenaria
1212,Euchlaena serrata,Saw-wing,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Euchlaena,serrata,01212_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Euchlaena_serrata
1213,Eulithis explanata,White Eulithis Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,explanata,01213_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Eulithis_explanata
1214,Euphyia intermediata,Sharp-angled Carpet Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Euphyia,intermediata,01214_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Euphyia_intermediata
1215,Eupithecia miserulata,Common Eupithecia,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,miserulata,01215_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Eupithecia_miserulata
1216,Eusarca confusaria,Confused Eusarca,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eusarca,confusaria,01216_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Eusarca_confusaria
1217,Eutrapela clemataria,Curve-toothed Geometer,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eutrapela,clemataria,01217_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Eutrapela_clemataria
1218,Fernaldella fimetaria,Green Broomweed Looper Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Fernaldella,fimetaria,01218_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Fernaldella_fimetaria
1219,Gastrina cristaria,Waved-lined Geometrid,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Gastrina,cristaria,01219_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Gastrina_cristaria
1220,Geometra papilionaria,Large Emerald,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Geometra,papilionaria,01220_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Geometra_papilionaria
1221,Glena quinquelinearia,Five-lined Gray,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Glena,quinquelinearia,01221_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Glena_quinquelinearia
1222,Glenoides texanaria,Texas Gray Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Glenoides,texanaria,01222_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Glenoides_texanaria
1223,Gymnoscelis rufifasciata,Double-striped Pug,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Gymnoscelis,rufifasciata,01223_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Gymnoscelis_rufifasciata
1224,Haematopis grataria,Chickweed Geometer,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Haematopis,grataria,01224_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Haematopis_grataria
1225,Heliomata cycladata,Common Spring Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Heliomata,cycladata,01225_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Heliomata_cycladata
1226,Hemithea aestivaria,Common Emerald,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Hemithea,aestivaria,01226_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Hemithea_aestivaria
1227,Heterophleps triguttaria,Three-spotted Fillip,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Heterophleps,triguttaria,01227_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Heterophleps_triguttaria
1228,Hethemia pistasciaria,Pistachio Emerald,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Hethemia,pistasciaria,01228_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Hethemia_pistasciaria
1229,Horisme intestinata,Brown Bark Carpet Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Horisme,intestinata,01229_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Horisme_intestinata
1230,Hypagyrtis unipunctata,One-spotted Variant,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Hypagyrtis,unipunctata,01230_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Hypagyrtis_unipunctata
1231,Hypomecis punctinalis,Pale Oak Beauty,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Hypomecis,punctinalis,01231_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Hypomecis_punctinalis
1232,Hyposidra talaca,Black Looper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Hyposidra,talaca,01232_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Hyposidra_talaca
1233,Idaea aversata,Riband Wave,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,aversata,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata
1234,Idaea biselata,Small Fan-footed Wave,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,biselata,01234_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_biselata
1235,Idaea degeneraria,Portland Ribbon Wave,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,degeneraria,01235_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_degeneraria
1236,Idaea demissaria,Red-bordered Wave,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,demissaria,01236_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_demissaria
1237,Idaea dimidiata,Single-dotted Wave,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,dimidiata,01237_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_dimidiata
1238,Idaea rusticata,Least Carpet,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,rusticata,01238_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_rusticata
1239,Idaea seriata,Small Dusty Wave,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,seriata,01239_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_seriata
1240,Idaea tacturata,Dot-lined Wave,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,tacturata,01240_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_tacturata
1241,Idiodes apicata,Idiodes apicata,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idiodes,apicata,01241_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idiodes_apicata
1242,Ilexia intractata,Black-dotted Ruddy Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ilexia,intractata,01242_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ilexia_intractata
1243,Iridopsis defectaria,Brown-shaded Gray Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Iridopsis,defectaria,01243_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Iridopsis_defectaria
1244,Iridopsis larvaria,Bent-line Gray,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Iridopsis,larvaria,01244_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Iridopsis_larvaria
1245,Isturgia dislocaria,Pale-veined Isturgia,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Isturgia,dislocaria,01245_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Isturgia_dislocaria
1246,Lambdina fiscellaria,Hemlock Looper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lambdina,fiscellaria,01246_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Lambdina_fiscellaria
1247,Leptostales pannaria,Pannaria Wave Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Leptostales,pannaria,01247_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Leptostales_pannaria
1248,Ligdia adustata,Scorched Carpet,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ligdia,adustata,01248_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ligdia_adustata
1249,Lobocleta ossularia,Drab Brown Wave,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lobocleta,ossularia,01249_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Lobocleta_ossularia
1250,Lobophora nivigerata,Powdered Bigwing Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lobophora,nivigerata,01250_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Lobophora_nivigerata
1251,Lomaspilis marginata,Clouded Border,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lomaspilis,marginata,01251_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Lomaspilis_marginata
1252,Lomographa glomeraria,Gray Spring Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lomographa,glomeraria,01252_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Lomographa_glomeraria
1253,Lomographa vestaliata,White Spring Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lomographa,vestaliata,01253_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Lomographa_vestaliata
1254,Lytrosis unitaria,Common Lytrosis,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lytrosis,unitaria,01254_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Lytrosis_unitaria
1255,Macaria aemulataria,Common Angle Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,aemulataria,01255_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Macaria_aemulataria
1256,Macaria alternata,Sharp-angled Peacock Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,alternata,01256_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Macaria_alternata
1257,Macaria bisignata,Red-headed Inchworm Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,bisignata,01257_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Macaria_bisignata
1258,Macaria liturata,Tawny-barred Angle Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,liturata,01258_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Macaria_liturata
1259,Macaria pustularia,Lesser Maple Spanworm Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,pustularia,01259_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Macaria_pustularia
1260,Melanchroia chephise,White-tipped Black,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melanchroia,chephise,01260_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Melanchroia_chephise
1261,Melanodes anthracitaria,Black Geometrid,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melanodes,anthracitaria,01261_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Melanodes_anthracitaria
1262,Melanolophia canadaria,Canadian Melanolophia Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melanolophia,canadaria,01262_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Melanolophia_canadaria
1263,Melanolophia imitata,Western Carpet,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melanolophia,imitata,01263_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Melanolophia_imitata
1264,Mellilla xanthometata,Orange Wing,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Mellilla,xanthometata,01264_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Mellilla_xanthometata
1265,Mesoleuca ruficillata,White-ribboned Carpet Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Mesoleuca,ruficillata,01265_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Mesoleuca_ruficillata
1266,Metanema inatomaria,Pale Metanema,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Metanema,inatomaria,01266_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Metanema_inatomaria
1267,Milionia zonea,Milionia zonea,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Milionia,zonea,01267_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Milionia_zonea
1268,Nematocampa resistaria,Horned Spanworm Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Nematocampa,resistaria,01268_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Nematocampa_resistaria
1269,Nemoria bistriaria,Red-fringed Emerald,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Nemoria,bistriaria,01269_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Nemoria_bistriaria
1270,Nemoria lixaria,Red-bordered Emerald,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Nemoria,lixaria,01270_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Nemoria_lixaria
1271,Nemoria mimosaria,White-fringed Emerald,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Nemoria,mimosaria,01271_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Nemoria_mimosaria
1272,Neoalcis californiaria,Brown-lined Looper Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Neoalcis,californiaria,01272_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Neoalcis_californiaria
1273,Nepytia canosaria,False Hemlock Looper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Nepytia,canosaria,01273_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Nepytia_canosaria
1274,Obeidia tigrata,Orange Magpie Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Obeidia,tigrata,01274_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Obeidia_tigrata
1275,Odezia atrata,Chimney-sweeper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Odezia,atrata,01275_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Odezia_atrata
1276,Operophtera bruceata,Bruce Spanworm,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Operophtera,bruceata,01276_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Operophtera_bruceata
1277,Operophtera brumata,Winter Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Operophtera,brumata,01277_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Operophtera_brumata
1278,Opisthograptis luteolata,Brimstone Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Opisthograptis,luteolata,01278_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Opisthograptis_luteolata
1279,Orthonama obstipata,The Gem,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Orthonama,obstipata,01279_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Orthonama_obstipata
1280,Ourapteryx sambucaria,Swallow-tailed Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ourapteryx,sambucaria,01280_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ourapteryx_sambucaria
1281,Paleacrita vernata,Spring Cankerworm Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Paleacrita,vernata,01281_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Paleacrita_vernata
1282,Pasiphila rectangulata,Green Pug,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pasiphila,rectangulata,01282_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Pasiphila_rectangulata
1283,Patalene olyzonaria,Juniper-twig Geometer,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Patalene,olyzonaria,01283_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Patalene_olyzonaria
1284,Peribatodes rhomboidaria,Willow Beauty,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Peribatodes,rhomboidaria,01284_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Peribatodes_rhomboidaria
1285,Perizoma alchemillata,Small Rivulet,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Perizoma,alchemillata,01285_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Perizoma_alchemillata
1286,Phaeoura quernaria,Oak Beauty,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Phaeoura,quernaria,01286_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Phaeoura_quernaria
1287,Phigalia strigataria,Small Phigalia Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Phigalia,strigataria,01287_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Phigalia_strigataria
1288,Phigalia titea,Half-Wing,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Phigalia,titea,01288_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Phigalia_titea
1289,Pholodes sinistraria,Sinister Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pholodes,sinistraria,01289_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Pholodes_sinistraria
1290,Phrissogonus laticostata,Apple Looper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Phrissogonus,laticostata,01290_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Phrissogonus_laticostata
1291,Plagodis alcoolaria,Hollow-spotted Plagodis Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Plagodis,alcoolaria,01291_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Plagodis_alcoolaria
1292,Plagodis phlogosaria,Straight-lined Plagodis,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Plagodis,phlogosaria,01292_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Plagodis_phlogosaria
1293,Plagodis pulveraria,Barred Umber,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Plagodis,pulveraria,01293_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Plagodis_pulveraria
1294,Plagodis serinaria,Lemon Plagodis,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Plagodis,serinaria,01294_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Plagodis_serinaria
1295,Pleuroprucha insulsaria,Common Tan Wave,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pleuroprucha,insulsaria,01295_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Pleuroprucha_insulsaria
1296,Prasinocyma semicrocea,Common Gum Emerald,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Prasinocyma,semicrocea,01296_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Prasinocyma_semicrocea
1297,Probole amicaria,Alien Probole Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Probole,amicaria,01297_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Probole_amicaria
1298,Prochoerodes lineola,Large Maple Spanworm,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Prochoerodes,lineola,01298_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Prochoerodes_lineola
1299,Protoboarmia porcelaria,Porcelain Gray,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Protoboarmia,porcelaria,01299_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Protoboarmia_porcelaria
1300,Psamatodes abydata,Dot-lined Angle,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Psamatodes,abydata,01300_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Psamatodes_abydata
1301,Pseudocoremia suavis,Common Forest Looper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pseudocoremia,suavis,01301_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Pseudocoremia_suavis
1302,Pseudopanthera macularia,Speckled Yellow,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pseudopanthera,macularia,01302_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Pseudopanthera_macularia
1303,Rhodometra sacraria,Vestal,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Rhodometra,sacraria,01303_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Rhodometra_sacraria
